Region,Month,For-Sale Property Type,Average Monthly Rent,Average Rent YoY,"Monthly mortgage, 5% down","Monthly mortgage, 5% down YoY","Monthly mortgage, 20% down","Monthly mortgage, 20% down YoY",Median sale price,Median sale price YoY
"Anaheim, CA",Jun-22,All Residential,"$3,438 ",7.80%,"$5,514 ",51.70%,"$4,643 ",51.70%,"$1,020,000 ",12.10%
"Anaheim, CA",Jun-22,Condo/Co-op,"$3,438 ",7.80%,"$3,663 ",66.70%,"$3,084 ",66.70%,"$677,500 ",23.20%
"Anaheim, CA",Jun-22,Multi-Family (2-4 Unit),"$3,438 ",7.80%,"$8,109 ",31.40%,"$6,829 ",31.40%,"$1,500,000 ",-2.90%
"Anaheim, CA",Jun-22,Single Family Residential,"$3,438 ",7.80%,"$6,757 ",52.40%,"$5,690 ",52.40%,"$1,250,000 ",12.60%
"Anaheim, CA",Jun-22,Townhouse,"$3,438 ",7.80%,"$4,211 ",55.00%,"$3,546 ",55.00%,"$779,000 ",14.60%
"Atlanta, GA",Jun-22,All Residential,"$2,141 ",13.90%,"$2,162 ",60.10%,"$1,821 ",60.10%,"$400,000 ",18.30%
"Atlanta, GA",Jun-22,Condo/Co-op,"$2,141 ",13.90%,"$1,595 ",62.90%,"$1,343 ",62.90%,"$295,000 ",20.40%
"Atlanta, GA",Jun-22,Multi-Family (2-4 Unit),"$2,141 ",13.90%,"$1,854 ",43.90%,"$1,561 ",43.90%,"$343,000 ",6.40%
"Atlanta, GA",Jun-22,Single Family Residential,"$2,141 ",13.90%,"$2,243 ",60.40%,"$1,889 ",60.40%,"$415,000 ",18.60%
"Atlanta, GA",Jun-22,Townhouse,"$2,141 ",13.90%,"$1,892 ",48.70%,"$1,593 ",48.70%,"$350,000 ",9.90%
"Austin, TX",Jun-22,All Residential,"$2,505 ",32.10%,"$2,897 ",51.10%,"$2,440 ",51.10%,"$535,958 ",11.70%
"Austin, TX",Jun-22,Condo/Co-op,"$2,505 ",32.10%,"$2,427 ",52.70%,"$2,044 ",52.70%,"$449,000 ",12.80%
"Austin, TX",Jun-22,Multi-Family (2-4 Unit),"$2,505 ",32.10%,"$3,244 ",42.40%,"$2,731 ",42.40%,"$600,000 ",5.20%
"Austin, TX",Jun-22,Single Family Residential,"$2,505 ",32.10%,"$2,958 ",51.10%,"$2,491 ",51.10%,"$547,113 ",11.70%
"Austin, TX",Jun-22,Townhouse,"$2,505 ",32.10%,"$2,284 ",72.60%,"$1,923 ",72.60%,"$422,495 ",27.60%
"Baltimore, MD",Jun-22,All Residential,"$2,121 ",4.90%,"$2,027 ",44.80%,"$1,707 ",44.80%,"$375,000 ",7.00%
"Baltimore, MD",Jun-22,Condo/Co-op,"$2,121 ",4.90%,"$1,351 ",49.70%,"$1,138 ",49.70%,"$250,000 ",10.60%
"Baltimore, MD",Jun-22,Multi-Family (2-4 Unit),"$2,121 ",4.90%,"$1,487 ",77.00%,"$1,252 ",77.00%,"$275,000 ",30.80%
"Baltimore, MD",Jun-22,Single Family Residential,"$2,121 ",4.90%,"$2,634 ",48.20%,"$2,218 ",48.20%,"$487,295 ",9.50%
"Baltimore, MD",Jun-22,Townhouse,"$2,121 ",4.90%,"$1,622 ",47.60%,"$1,366 ",47.60%,"$300,000 ",9.10%
"Boston, MA",Jun-22,All Residential,"$4,031 ",17.20%,"$3,811 ",46.80%,"$3,209 ",46.80%,"$705,000 ",8.50%
"Boston, MA",Jun-22,Condo/Co-op,"$4,031 ",17.20%,"$3,297 ",46.60%,"$2,776 ",46.60%,"$609,900 ",8.30%
"Boston, MA",Jun-22,Multi-Family (2-4 Unit),"$4,031 ",17.20%,"$4,423 ",47.60%,"$3,725 ",47.60%,"$818,250 ",9.10%
"Boston, MA",Jun-22,Single Family Residential,"$4,031 ",17.20%,"$4,000 ",45.10%,"$3,369 ",45.10%,"$740,000 ",7.20%
"Boston, MA",Jun-22,Townhouse,"$4,031 ",17.20%,"$3,250 ",50.90%,"$2,737 ",50.90%,"$601,250 ",11.50%
"Charlotte, NC",Jun-22,All Residential,"$1,854 ",7.00%,"$2,216 ",63.20%,"$1,866 ",63.20%,"$410,000 ",20.60%
"Charlotte, NC",Jun-22,Condo/Co-op,"$1,854 ",7.00%,"$1,681 ",61.90%,"$1,416 ",61.90%,"$311,000 ",19.60%
"Charlotte, NC",Jun-22,Multi-Family (2-4 Unit),"$1,854 ",7.00%,"$1,946 ",151.80%,"$1,639 ",151.80%,"$360,000 ",86.10%
"Charlotte, NC",Jun-22,Single Family Residential,"$1,854 ",7.00%,"$2,313 ",64.00%,"$1,948 ",64.00%,"$427,900 ",21.20%
"Charlotte, NC",Jun-22,Townhouse,"$1,854 ",7.00%,"$2,019 ",79.30%,"$1,701 ",79.30%,"$373,568 ",32.50%
"Chicago, IL",Jun-22,All Residential,"$2,509 ",8.40%,"$1,838 ",43.80%,"$1,548 ",43.80%,"$340,000 ",6.30%
"Chicago, IL",Jun-22,Condo/Co-op,"$2,509 ",8.40%,"$1,406 ",35.30%,"$1,184 ",35.30%,"$260,000 ",0.00%
"Chicago, IL",Jun-22,Multi-Family (2-4 Unit),"$2,509 ",8.40%,"$2,108 ",38.90%,"$1,775 ",38.90%,"$390,000 ",2.60%
"Chicago, IL",Jun-22,Single Family Residential,"$2,509 ",8.40%,"$2,054 ",46.90%,"$1,730 ",46.90%,"$380,000 ",8.60%
"Chicago, IL",Jun-22,Townhouse,"$2,509 ",8.40%,"$1,572 ",48.50%,"$1,324 ",48.50%,"$290,750 ",9.70%
"Cincinnati, OH",Jun-22,All Residential,"$1,815 ",38.80%,"$1,487 ",45.90%,"$1,252 ",45.90%,"$275,000 ",7.80%
"Cincinnati, OH",Jun-22,Condo/Co-op,"$1,815 ",38.80%,"$1,006 ",45.50%,$847 ,45.50%,"$186,000 ",7.50%
"Cincinnati, OH",Jun-22,Multi-Family (2-4 Unit),"$1,815 ",38.80%,"$1,195 ",70.90%,"$1,006 ",70.90%,"$221,000 ",26.30%
"Cincinnati, OH",Jun-22,Single Family Residential,"$1,815 ",38.80%,"$1,587 ",48.20%,"$1,337 ",48.20%,"$293,600 ",9.60%
"Cincinnati, OH",Jun-22,Townhouse,"$1,815 ",38.80%,"$1,135 ",27.40%,$956 ,27.40%,"$210,000 ",-5.80%
"Cleveland, OH",Jun-22,All Residential,"$1,486 ",9.20%,"$1,216 ",51.40%,"$1,024 ",51.40%,"$224,950 ",11.90%
"Cleveland, OH",Jun-22,Condo/Co-op,"$1,486 ",9.20%,$935 ,69.60%,$788 ,69.60%,"$173,000 ",25.40%
"Cleveland, OH",Jun-22,Multi-Family (2-4 Unit),"$1,486 ",9.20%,$703 ,32.70%,$592 ,32.70%,"$130,000 ",-1.90%
"Cleveland, OH",Jun-22,Single Family Residential,"$1,486 ",9.20%,"$1,276 ",49.20%,"$1,074 ",49.20%,"$236,000 ",10.30%
"Cleveland, OH",Jun-22,Townhouse,"$1,486 ",9.20%,"$1,619 ",50.10%,"$1,363 ",50.10%,"$299,500 ",10.90%
"Columbus, OH",Jun-22,All Residential,"$1,689 ",11.60%,"$1,773 ",55.70%,"$1,493 ",55.70%,"$328,000 ",15.10%
"Columbus, OH",Jun-22,Condo/Co-op,"$1,689 ",11.60%,"$1,351 ",57.30%,"$1,138 ",57.30%,"$250,000 ",16.30%
"Columbus, OH",Jun-22,Multi-Family (2-4 Unit),"$1,689 ",11.60%,"$1,646 ",123.60%,"$1,386 ",123.60%,"$304,500 ",65.30%
"Columbus, OH",Jun-22,Single Family Residential,"$1,689 ",11.60%,"$1,838 ",52.90%,"$1,548 ",52.90%,"$340,000 ",13.00%
"Dallas, TX",Jun-22,All Residential,"$2,227 ",21.20%,"$2,471 ",62.70%,"$2,080 ",62.70%,"$457,000 ",20.30%
"Dallas, TX",Jun-22,Condo/Co-op,"$2,227 ",21.20%,"$1,508 ",60.70%,"$1,270 ",60.70%,"$279,000 ",18.70%
"Dallas, TX",Jun-22,Multi-Family (2-4 Unit),"$2,227 ",21.20%,"$2,608 ",103.90%,"$2,197 ",103.90%,"$482,500 ",50.70%
"Dallas, TX",Jun-22,Single Family Residential,"$2,227 ",21.20%,"$2,541 ",63.10%,"$2,140 ",63.10%,"$470,000 ",20.50%
"Dallas, TX",Jun-22,Townhouse,"$2,227 ",21.20%,"$2,254 ",62.50%,"$1,898 ",62.50%,"$416,998 ",20.10%
"Denver, CO",Jun-22,All Residential,"$2,701 ",12.80%,"$3,298 ",52.20%,"$2,777 ",52.20%,"$610,000 ",12.40%
"Denver, CO",Jun-22,Condo/Co-op,"$2,701 ",12.80%,"$1,976 ",51.70%,"$1,664 ",51.70%,"$365,500 ",12.10%
"Denver, CO",Jun-22,Multi-Family (2-4 Unit),"$2,701 ",12.80%,"$4,852 ",68.70%,"$4,086 ",68.70%,"$897,500 ",24.70%
"Denver, CO",Jun-22,Single Family Residential,"$2,701 ",12.80%,"$3,595 ",50.00%,"$3,027 ",50.00%,"$665,000 ",10.80%
"Denver, CO",Jun-22,Townhouse,"$2,701 ",12.80%,"$2,757 ",56.80%,"$2,322 ",56.80%,"$510,000 ",15.90%
"Detroit, MI",Jun-22,All Residential,"$1,658 ",12.50%,"$1,130 ",54.50%,$951 ,54.50%,"$209,000 ",14.20%
"Detroit, MI",Jun-22,Condo/Co-op,"$1,658 ",12.50%,"$1,297 ",44.30%,"$1,093 ",44.30%,"$240,000 ",6.70%
"Detroit, MI",Jun-22,Multi-Family (2-4 Unit),"$1,658 ",12.50%,$595 ,48.80%,$501 ,48.80%,"$110,000 ",10.00%
"Detroit, MI",Jun-22,Single Family Residential,"$1,658 ",12.50%,"$1,135 ",57.90%,$956 ,57.90%,"$210,000 ",16.70%
"Detroit, MI",Jun-22,Townhouse,"$1,658 ",12.50%,"$1,211 ",621.50%,"$1,020 ",621.50%,"$223,950 ",433.20%
"Fort Lauderdale, FL",Jun-22,All Residential,"$3,111 ",22.90%,"$2,219 ",63.40%,"$1,869 ",63.40%,"$410,500 ",20.70%
"Fort Lauderdale, FL",Jun-22,Condo/Co-op,"$3,111 ",22.90%,"$1,216 ",64.60%,"$1,024 ",64.60%,"$225,000 ",21.60%
"Fort Lauderdale, FL",Jun-22,Multi-Family (2-4 Unit),"$3,111 ",22.90%,"$3,168 ",75.80%,"$2,668 ",75.80%,"$586,000 ",29.90%
"Fort Lauderdale, FL",Jun-22,Single Family Residential,"$3,111 ",22.90%,"$3,108 ",63.30%,"$2,618 ",63.30%,"$575,000 ",20.70%
"Fort Lauderdale, FL",Jun-22,Townhouse,"$3,111 ",22.90%,"$2,162 ",66.50%,"$1,821 ",66.50%,"$400,000 ",23.10%
"Fort Worth, TX",Jun-22,All Residential,"$2,227 ",21.20%,"$2,098 ",68.10%,"$1,767 ",68.10%,"$388,100 ",24.20%
"Fort Worth, TX",Jun-22,Condo/Co-op,"$2,227 ",21.20%,"$1,227 ",61.70%,"$1,033 ",61.70%,"$227,000 ",19.50%
"Fort Worth, TX",Jun-22,Multi-Family (2-4 Unit),"$2,227 ",21.20%,"$1,616 ",55.60%,"$1,361 ",55.60%,"$299,000 ",15.00%
"Fort Worth, TX",Jun-22,Single Family Residential,"$2,227 ",21.20%,"$2,108 ",67.50%,"$1,775 ",67.50%,"$390,000 ",23.80%
"Fort Worth, TX",Jun-22,Townhouse,"$2,227 ",21.20%,"$1,946 ",81.40%,"$1,639 ",81.40%,"$360,000 ",34.10%
"Houston, TX",Jun-22,All Residential,"$1,777 ",9.20%,"$1,903 ",53.20%,"$1,602 ",53.20%,"$352,000 ",13.20%
"Houston, TX",Jun-22,Condo/Co-op,"$1,777 ",9.20%,$942 ,48.00%,$793 ,48.00%,"$174,200 ",9.40%
"Houston, TX",Jun-22,Multi-Family (2-4 Unit),"$1,777 ",9.20%,"$1,892 ",63.60%,"$1,593 ",63.60%,"$349,995 ",20.90%
"Houston, TX",Jun-22,Single Family Residential,"$1,777 ",9.20%,"$1,946 ",53.40%,"$1,639 ",53.40%,"$360,000 ",13.40%
"Houston, TX",Jun-22,Townhouse,"$1,777 ",9.20%,"$1,676 ",52.50%,"$1,411 ",52.50%,"$309,995 ",12.70%
"Indianapolis, IN",Jun-22,All Residential,"$1,499 ",20.60%,"$1,600 ",60.20%,"$1,347 ",60.20%,"$296,000 ",18.40%
"Indianapolis, IN",Jun-22,Condo/Co-op,"$1,499 ",20.60%,"$1,257 ",60.90%,"$1,058 ",60.90%,"$232,500 ",18.90%
"Indianapolis, IN",Jun-22,Multi-Family (2-4 Unit),"$1,499 ",20.60%,$924 ,47.20%,$778 ,47.20%,"$171,000 ",8.80%
"Indianapolis, IN",Jun-22,Single Family Residential,"$1,499 ",20.60%,"$1,649 ",61.90%,"$1,388 ",61.90%,"$305,000 ",19.60%
"Indianapolis, IN",Jun-22,Townhouse,"$1,499 ",20.60%,"$1,877 ",58.90%,"$1,580 ",58.90%,"$347,150 ",17.40%
"Jacksonville, FL",Jun-22,All Residential,"$1,675 ",10.60%,"$2,027 ",65.90%,"$1,707 ",65.90%,"$375,000 ",22.60%
"Jacksonville, FL",Jun-22,Condo/Co-op,"$1,675 ",10.60%,"$1,433 ",68.80%,"$1,206 ",68.80%,"$265,000 ",24.80%
"Jacksonville, FL",Jun-22,Multi-Family (2-4 Unit),"$1,675 ",10.60%,"$3,384 ",59.90%,"$2,850 ",59.90%,"$626,000 ",18.10%
"Jacksonville, FL",Jun-22,Single Family Residential,"$1,675 ",10.60%,"$2,162 ",64.00%,"$1,821 ",64.00%,"$400,000 ",21.20%
"Jacksonville, FL",Jun-22,Townhouse,"$1,675 ",10.60%,"$1,506 ",63.90%,"$1,268 ",63.90%,"$278,500 ",21.10%
"Kansas City, MO",Jun-22,All Residential,"$1,434 ",-0.50%,"$1,757 ",56.00%,"$1,480 ",56.00%,"$325,000 ",15.20%
"Kansas City, MO",Jun-22,Condo/Co-op,"$1,434 ",-0.50%,"$1,027 ",29.80%,$865 ,29.80%,"$190,000 ",-4.00%
"Kansas City, MO",Jun-22,Multi-Family (2-4 Unit),"$1,434 ",-0.50%,"$1,350 ",57.20%,"$1,137 ",57.20%,"$249,750 ",16.20%
"Kansas City, MO",Jun-22,Single Family Residential,"$1,434 ",-0.50%,"$1,812 ",55.80%,"$1,526 ",55.80%,"$335,115 ",15.20%
"Kansas City, MO",Jun-22,Townhouse,"$1,434 ",-0.50%,"$1,192 ",49.20%,"$1,004 ",49.20%,"$220,500 ",10.30%
"Las Vegas, NV",Jun-22,All Residential,"$1,867 ",12.80%,"$2,433 ",66.80%,"$2,049 ",66.80%,"$450,000 ",23.30%
"Las Vegas, NV",Jun-22,Condo/Co-op,"$1,867 ",12.80%,"$1,406 ",74.20%,"$1,184 ",74.20%,"$260,000 ",28.70%
"Las Vegas, NV",Jun-22,Multi-Family (2-4 Unit),"$1,867 ",12.80%,"$2,973 ",81.10%,"$2,504 ",81.10%,"$550,000 ",33.80%
"Las Vegas, NV",Jun-22,Single Family Residential,"$1,867 ",12.80%,"$2,616 ",63.70%,"$2,203 ",63.70%,"$484,000 ",21.00%
"Las Vegas, NV",Jun-22,Townhouse,"$1,867 ",12.80%,"$1,868 ",73.20%,"$1,573 ",73.20%,"$345,500 ",28.00%
"Los Angeles, CA",Jun-22,All Residential,"$3,438 ",7.80%,"$4,811 ",45.20%,"$4,052 ",45.20%,"$890,000 ",7.30%
"Los Angeles, CA",Jun-22,Condo/Co-op,"$3,438 ",7.80%,"$3,514 ",48.10%,"$2,959 ",48.10%,"$650,000 ",9.40%
"Los Angeles, CA",Jun-22,Multi-Family (2-4 Unit),"$3,438 ",7.80%,"$5,406 ",42.40%,"$4,552 ",42.40%,"$1,000,000 ",5.30%
"Los Angeles, CA",Jun-22,Single Family Residential,"$3,438 ",7.80%,"$5,244 ",45.80%,"$4,416 ",45.80%,"$970,000 ",7.80%
"Los Angeles, CA",Jun-22,Townhouse,"$3,438 ",7.80%,"$4,038 ",43.40%,"$3,401 ",43.40%,"$747,000 ",6.00%
"Miami, FL",Jun-22,All Residential,"$3,111 ",22.90%,"$2,649 ",59.80%,"$2,231 ",59.80%,"$490,000 ",18.10%
"Miami, FL",Jun-22,Condo/Co-op,"$3,111 ",22.90%,"$2,216 ",64.40%,"$1,866 ",64.40%,"$410,000 ",21.50%
"Miami, FL",Jun-22,Multi-Family (2-4 Unit),"$3,111 ",22.90%,"$3,217 ",62.70%,"$2,709 ",62.70%,"$595,000 ",20.20%
"Miami, FL",Jun-22,Single Family Residential,"$3,111 ",22.90%,"$3,081 ",57.40%,"$2,595 ",57.40%,"$570,000 ",16.30%
"Miami, FL",Jun-22,Townhouse,"$3,111 ",22.90%,"$2,181 ",65.50%,"$1,837 ",65.50%,"$403,500 ",22.30%
"Milwaukee, WI",Jun-22,All Residential,"$1,650 ",-11.50%,"$1,664 ",49.30%,"$1,401 ",49.30%,"$307,750 ",10.30%
"Milwaukee, WI",Jun-22,Condo/Co-op,"$1,650 ",-11.50%,"$1,287 ",37.00%,"$1,083 ",37.00%,"$238,000 ",1.30%
"Milwaukee, WI",Jun-22,Multi-Family (2-4 Unit),"$1,650 ",-11.50%,"$1,135 ",35.30%,$956 ,35.30%,"$210,000 ",0.00%
"Milwaukee, WI",Jun-22,Single Family Residential,"$1,650 ",-11.50%,"$1,880 ",52.90%,"$1,583 ",52.90%,"$347,750 ",13.00%
"Milwaukee, WI",Jun-22,Townhouse,"$1,650 ",,"$1,441 ",,"$1,213 ",,"$266,500 ",
"Minneapolis, MN",Jun-22,All Residential,"$1,736 ",-6.50%,"$2,054 ",46.90%,"$1,730 ",46.90%,"$380,000 ",8.60%
"Minneapolis, MN",Jun-22,Condo/Co-op,"$1,736 ",-6.50%,"$1,189 ",39.80%,"$1,002 ",39.80%,"$220,000 ",3.30%
"Minneapolis, MN",Jun-22,Multi-Family (2-4 Unit),"$1,736 ",-6.50%,"$1,892 ",35.30%,"$1,593 ",35.30%,"$350,000 ",0.00%
"Minneapolis, MN",Jun-22,Single Family Residential,"$1,736 ",-6.50%,"$2,230 ",46.90%,"$1,878 ",46.90%,"$412,500 ",8.60%
"Minneapolis, MN",Jun-22,Townhouse,"$1,736 ",-6.50%,"$1,568 ",44.80%,"$1,320 ",44.80%,"$290,000 ",7.00%
"Montgomery County, PA",Jun-22,All Residential,"$2,424 ",13.50%,"$2,432 ",48.50%,"$2,048 ",48.50%,"$449,950 ",9.70%
"Montgomery County, PA",Jun-22,Condo/Co-op,"$2,424 ",13.50%,"$1,335 ",58.40%,"$1,124 ",58.40%,"$247,000 ",17.10%
"Montgomery County, PA",Jun-22,Multi-Family (2-4 Unit),"$2,424 ",13.50%,"$1,843 ",70.90%,"$1,552 ",70.90%,"$340,926 ",26.30%
"Montgomery County, PA",Jun-22,Single Family Residential,"$2,424 ",13.50%,"$2,784 ",46.70%,"$2,344 ",46.70%,"$515,000 ",8.40%
"Montgomery County, PA",Jun-22,Townhouse,"$2,424 ",13.50%,"$1,962 ",48.80%,"$1,653 ",48.80%,"$363,000 ",10.00%
"Nashville, TN",Jun-22,All Residential,"$2,176 ",30.50%,"$2,486 ",59.60%,"$2,094 ",59.60%,"$459,900 ",17.90%
"Nashville, TN",Jun-22,Condo/Co-op,"$2,176 ",30.50%,"$1,976 ",45.90%,"$1,664 ",45.90%,"$365,460 ",7.80%
